,Name,Position,Game,Team,Projected Fanduel Points,Projected Fanduel Value,Fanduel Salary,Value above Fanduel Value,Projected Draftkings Points,Projected Draftkings Value,FPPG (Fanduel),10 Game Average (Fanduel),3 Game Average (Fanduel),Opponent Defensive Rank vs Position,Injury Indicator,Injury Details,Hot,Cold
208,Harry Giles,PF,NO@POR,POR,7.61,1522,3500,-$1978,7.4,1388,11.53,11.82,13.8,21.0,GTD,Calf,0.0,0.0
209,Paul Reed,SF,NY@PHI,PHI,3.73,747,3500,-$2753,3.65,684,8.65,8.9,13.83, , , ,0.0,0.0
210,Terrance Ferguson,SG,NY@PHI,PHI,1.44,288,3500,-$3212,1.39,261,0.43,0.4,0.67,3.0, , ,0.0,0.0
211,Tony Bradley,PF,NY@PHI,PHI,11.48,2296,3500,-$1204,11.11,2083,13.65,12.21,15.7,11.0, , ,0.0,0.0
212,JJ Redick,SF,NO@POR,NO,9.68,1937,3500,-$1563,10.4,1950,12.92,13.04,19.17,21.0,O,Heel,0.11499176970782528,0.0
213,Aaron Nesmith,SG,UTA@BOS,BOS,8.19,1637,3500,-$1863,8.13,1524,8.36,9.77,9.43, , , ,0.0,0.0
214,Obi Toppin,SF,NY@PHI,NY,7.24,1448,3500,-$2052,7.21,1352,9.7,10.37,11.9, , , ,0.0,0.0
215,Devon Dotson,SG,OKC@CHI,CHI,2.08,417,3500,-$3083,2.24,420,5.2,5.2,5.2, ,GTD,Knee,0.0,0.0
216,Trent Forrest,SG,UTA@BOS,UTA,1.08,215,3500,-$3285,1.09,203,2.2,2.2,1.8, , , ,0.0,0.0
217,Jared Dudley,SF,MIN@LAL,LAL,3.62,724,3500,-$2776,3.52,660,3.66,4.03,5.5,12.0,O,Knee,0.0,0.0
218,Lamar Stevens,PF,CLE@MIA,CLE,6.81,1362,3500,-$2138,6.61,1240,9.81,12.08,6.97, , , ,0.0,0.0
219,Rayjon Tucker,PG,NY@PHI,PHI,3.71,742,3500,-$2758,3.74,701,4.58,6.31,2.63,23.0, , ,0.0,0.0
220,Semi Ojeleye,SF,UTA@BOS,BOS,12.1,2419,3500,-$1081,12.7,2381,10.77,12.11,4.87,1.0, , ,0.0,1.8324791893532149
221,Wenyen Gabriel,PF,NO@POR,NO,2.71,542,3500,-$2958,2.79,524,1.74,5.82,0.8,5.0, , ,0.0,0.0
222,Mike Muscala,PF,OKC@CHI,OKC,15.81,3162,3500,-$338,16.37,3070,16.44,18.62,14.5,26.0, , ,0.0,0.0
223,Brandon Goodwin,PG,ATL@HOU,ATL,4.44,887,3500,-$2613,4.66,874,8.34,7.63,4.63,14.0, , ,0.0,0.0
